date_exp,gpu_platform,BW,img_resolution,airtime_ratio,gpu_power,av_end2end_delay,av_imp_proc_delay,av_gpu_delay,av_num_obj,av_obj_size,AP1,AP2,AP3,AP4,AP5,AP6,AR1,AR2,AR3,AR4,AR5,AR6,powermeter_av,powermeter_var,powermeter_median,rapl_av,rapl_var,gpu_av,gpu_var,clocksp_av,im_ids,end2end_delay,imp_proc_delay,gpu_delay,confidences,CC,num_obj,obj_size,AP_per_image
2011161306, GeForce RTX 2080 Ti,100,100,1,100,0.52700021425883,0.024452300071716,0.335141596794128,5.82666666666667,74939.0573710457,0.508788018543736,0.66471955695492,0.579322397299566,0.181878565985876,0.577659356414446,0.673809735428419,0.480110723290499,0.568282640763801,0.570050964994902,0.257852182539682,0.631977124183006,0.722041740129345,142.112687069625,499.635655296872,142.32,12.8105714285714,0.33662062585034,77.2314479945615,424.906107284685,4370.24761904762,,,,,,,,,
2011161306, GeForce RTX 2080 Ti,100,100,1,120,0.413145920435588,0.024726656277975,0.211703917185465,5.82666666666667,74939.0573710457,0.508788018543736,0.66471955695492,0.579322397299566,0.181878565985876,0.577659356414446,0.673809735428419,0.480110723290499,0.568282640763801,0.570050964994902,0.257852182539682,0.631977124183006,0.722041740129345,151.635655172414,790.141354915577,149.37,12.3046808510638,0.204301493888637,86.9643390357698,871.569014298741,4358.10638297872,,,,,,,,,
2011161306, GeForce RTX 2080 Ti,100,100,1,140,0.372744549115499,0.02434183438619,0.173126293818156,5.82666666666667,74939.0573710457,0.508788018543736,0.66471955695492,0.579322397299566,0.181878565985876,0.577659356414446,0.673809735428419,0.480110723290499,0.568282640763801,0.570050964994902,0.257852182539682,0.631977124183006,0.722041740129345,168.260898321816,1267.34520837367,161.85,12.2092592592593,0.059399451303155,102.085509499136,1361.46773164887,4361.35802469136,,,,,,,,,
2011161306, GeForce RTX 2080 Ti,100,100,1,160,0.343671929041545,0.024522070884705,0.150906573931376,5.82666666666667,74939.0573710457,0.508788018543736,0.66471955695492,0.579322397299566,0.181878565985876,0.577659356414446,0.673809735428419,0.480110723290499,0.568282640763801,0.570050964994902,0.257852182539682,0.631977124183006,0.722041740129345,177.854755639098,1499.24500839893,164.59,12.0574418604651,0.114902758247701,112.627560581583,1586.44573346765,4359.25581395349,,,,,,,,,
2011161306, GeForce RTX 2080 Ti,100,100,1,180,0.343565494219462,0.024764620463053,0.136971869468689,5.82666666666667,74939.0573710457,0.508788018543736,0.66471955695492,0.579322397299566,0.181878565985876,0.577659356414446,0.673809735428419,0.480110723290499,0.568282640763801,0.570050964994902,0.257852182539682,0.631977124183006,0.722041740129345,189.192178423237,1544.50700625032,168.4,11.9397402597403,0.034540192275257,122.675555555556,1896.47970125386,4360.28571428571,,,,,,,,,
2011161306, GeForce RTX 2080 Ti,100,100,1,200,0.339708717664083,0.024737510681152,0.129856502215068,5.82666666666667,74939.0573710457,0.508788018543736,0.66471955695492,0.579322397299566,0.181878565985876,0.577659356414446,0.673809735428419,0.480110723290499,0.568282640763801,0.570050964994902,0.257852182539682,0.631977124183006,0.722041740129345,196.894552160169,1775.78615988901,173.07,11.8844736842105,0.034829986149585,129.52216856892,2110.50636430521,4364.11842105263,,,,,,,,,
2011161306, GeForce RTX 2080 Ti,100,100,1,220,0.334330670038859,0.024577871958415,0.126215151151021,5.82666666666667,74939.0573710457,0.508788018543736,0.66471955695492,0.579322397299566,0.181878565985876,0.577659356414446,0.673809735428419,0.480110723290499,0.568282640763801,0.570050964994902,0.257852182539682,0.631977124183006,0.722041740129345,205.821077908218,1973.63936159158,182.96,11.9298666666667,0.035446648888889,136.406091954023,2467.14408817545,4362.12,,,,,,,,,
2011161306, GeForce RTX 2080 Ti,100,100,1,240,0.338256986935933,0.024624241193136,0.124555311203003,5.82666666666667,74939.0573710457,0.508788018543736,0.66471955695492,0.579322397299566,0.181878565985876,0.577659356414446,0.673809735428419,0.480110723290499,0.568282640763801,0.570050964994902,0.257852182539682,0.631977124183006,0.722041740129345,209.822420718816,2346.02497542976,180.18,11.8982894736842,0.070258916204986,141.083724978242,2948.47163555883,4364.27631578947,,,,,,,,,
2011161306, GeForce RTX 2080 Ti,100,100,1,260,0.325422452290853,0.024613041877747,0.122508514722188,5.82666666666667,74939.0573710457,0.508788018543736,0.66471955695492,0.579322397299566,0.181878565985876,0.577659356414446,0.673809735428419,0.480110723290499,0.568282640763801,0.570050964994902,0.257852182539682,0.631977124183006,0.722041740129345,217.629478827362,2739.83813566758,190.94,11.8275675675676,0.056796785975164,146.35137254902,3364.67845533536,4359.05405405405,,,,,,,,,
2011161306, GeForce RTX 2080 Ti,100,100,1,280,0.32989516099294,0.024517199198405,0.121272859573364,5.82666666666667,74939.0573710457,0.508788018543736,0.66471955695492,0.579322397299566,0.181878565985876,0.577659356414446,0.673809735428419,0.480110723290499,0.568282640763801,0.570050964994902,0.257852182539682,0.631977124183006,0.722041740129345,226.421370449679,3363.07432917112,197.405,11.8188,0.054853226666667,153.489314830876,3899.25157273089,4360.70666666667,,,,,,,,,
